total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,engagement_score,is_fast_responder,stage_numeric,total_stage_days,source_quality_score,has_high_form_completion,converted
1,4,2,1,0,63,5.7,27,8,6,4,0,2.3333333333333335,0,7,18,3,0,1
4,4,0,0,1,39,24.5,29,2,11,4,2,2.6666666666666665,0,4,19,3,0,1
0,5,0,0,0,34,60.3,3,19,8,5,1,1.6666666666666667,0,1,33,3,0,0
7,12,2,0,0,58,42.4,5,0,3,9,3,7.0,0,5,15,3,0,1
7,5,4,0,1,80,62.1,6,9,4,5,4,5.333333333333333,0,6,22,1,1,1
5,7,2,0,0,71,4.8,13,7,4,4,1,4.666666666666667,1,5,16,3,1,1
4,3,1,1,0,19,33.0,28,9,7,0,6,2.6666666666666665,0,2,22,3,0,1
4,2,0,0,0,18,28.7,30,3,1,9,5,2.0,0,1,18,1,0,0
2,2,1,0,0,27,,16,13,5,1,1,1.6666666666666667,0,2,20,1,0,0
1,4,0,0,0,25,30.6,25,12,5,6,5,1.6666666666666667,0,3,28,1,0,0
4,3,4,1,0,33,6.9,14,13,0,4,7,3.6666666666666665,0,5,24,5,0,1
1,6,0,0,1,50,,11,3,7,6,1,2.3333333333333335,0,6,17,1,0,1
0,7,2,0,0,25,11.1,4,10,12,4,7,3.0,0,5,33,3,0,1
8,8,2,1,1,80,43.9,15,1,13,4,5,6.0,0,4,23,4,1,1
3,6,6,0,0,17,13.0,21,16,1,5,2,5.0,0,1,24,1,0,0
2,0,3,0,0,0,71.8,29,19,8,9,5,1.6666666666666667,0,4,41,1,0,0
0,0,1,1,0,12,26.3,20,1,6,1,2,0.3333333333333333,0,3,10,5,0,1
2,3,2,1,1,16,39.3,30,16,5,6,7,2.3333333333333335,0,1,34,4,0,0
3,1,3,1,0,62,,2,17,8,5,3,2.3333333333333335,0,2,33,1,0,0
8,10,2,1,1,67,9.7,25,13,12,0,6,6.666666666666667,0,3,31,3,0,1
4,12,1,1,1,31,,4,8,0,0,5,5.666666666666667,0,4,13,4,0,0
1,3,0,0,1,39,,13,17,4,4,6,1.3333333333333333,0,2,31,1,0,0
1,0,2,0,0,22,2.7,0,14,8,5,6,1.0,1,1,33,1,0,0
4,2,0,0,1,6,11.5,18,5,6,8,1,2.0,0,6,20,5,0,1
9,12,3,1,0,39,23.9,10,6,14,1,2,8.0,0,5,23,5,0,1
5,9,3,1,0,79,42.6,22,11,7,3,3,5.666666666666667,0,5,24,4,1,1
6,0,1,0,0,12,19.2,27,7,1,1,5,2.3333333333333335,0,2,14,3,0,0
4,4,0,0,0,12,39.8,28,12,14,6,0,2.6666666666666665,0,6,32,5,0,1
1,0,2,0,0,14,,13,5,8,2,6,1.0,0,3,21,5,0,1
2,4,0,0,0,38,53.8,24,11,4,7,1,2.0,0,1,23,4,0,0
6,11,4,1,0,34,44.0,23,18,4,0,3,7.0,0,1,25,1,0,0
4,0,2,0,0,9,,5,3,5,5,7,2.0,0,3,20,4,0,0
7,7,6,0,0,81,40.8,19,9,15,4,5,6.666666666666667,0,1,33,1,1,0
3,5,0,0,0,18,71.2,15,14,8,0,2,2.6666666666666665,0,2,24,1,0,0
2,9,3,0,1,58,61.3,19,5,5,1,5,4.666666666666667,0,1,16,3,0,0
5,1,3,1,1,49,63.4,16,12,6,5,0,3.0,0,3,23,4,0,1
0,0,2,0,0,0,15.2,21,12,3,3,2,0.6666666666666666,0,1,20,5,0,0
3,1,4,1,0,12,,3,18,15,0,0,2.6666666666666665,0,5,33,4,0,1
3,8,1,0,0,24,27.3,30,7,9,9,0,4.0,0,6,25,5,0,1
6,11,4,1,1,57,30.6,20,19,13,0,2,7.0,0,1,34,1,0,0
0,4,1,0,1,34,44.1,19,6,13,4,4,1.6666666666666667,0,7,27,5,0,1
4,3,2,0,0,15,32.0,25,10,5,7,1,3.0,0,2,23,3,0,0
5,3,1,1,0,40,28.1,19,1,2,9,5,3.0,0,7,17,1,0,1
7,4,2,0,1,3,41.3,5,9,10,8,0,4.333333333333333,0,2,27,5,0,1
1,0,3,1,0,23,24.3,14,7,10,7,1,1.3333333333333333,0,2,25,3,0,0
2,5,1,1,1,0,,15,19,6,4,4,2.6666666666666665,0,1,33,5,0,0
0,6,0,0,0,0,44.3,1,4,0,10,5,2.0,0,1,19,3,0,0
4,5,1,0,0,5,26.8,12,13,5,3,7,3.3333333333333335,0,1,28,3,0,0
2,5,2,0,0,0,63.1,6,14,13,2,2,3.0,0,3,31,3,0,1
0,0,0,0,0,0,69.9,28,6,14,4,5,0.0,0,4,29,5,0,0
4,5,2,1,1,58,29.7,15,19,3,7,2,3.6666666666666665,0,1,31,4,0,0
0,5,1,1,1,24,45.7,0,2,4,0,5,2.0,0,4,11,3,0,1
3,0,3,0,0,8,66.5,19,17,2,5,0,2.0,0,1,24,2,0,0
10,7,3,1,0,50,,4,20,7,7,5,6.666666666666667,0,1,39,1,0,0
1,1,1,0,0,10,11.1,1,13,0,10,0,1.0,0,1,23,3,0,0
1,5,2,1,1,33,,29,9,10,4,3,2.6666666666666665,0,5,26,2,0,1
6,0,0,0,0,6,,21,16,10,10,7,2.0,0,1,43,1,0,0
0,2,1,0,1,0,49.2,30,2,15,9,5,1.0,0,2,31,5,0,0
2,4,1,0,1,24,,23,9,2,2,5,2.3333333333333335,0,2,18,3,0,0
3,6,2,0,1,32,5.4,4,14,3,8,5,3.6666666666666665,0,7,30,3,0,1
8,4,5,0,1,56,50.3,27,13,3,2,3,5.666666666666667,0,2,21,3,0,0
8,15,4,1,1,36,34.1,15,20,9,8,2,9.0,0,2,39,3,0,0
3,4,1,1,0,35,47.7,28,0,7,9,1,2.6666666666666665,0,4,17,3,0,1
4,3,1,0,0,14,47.3,20,16,13,10,6,2.6666666666666665,0,2,45,3,0,0
2,5,3,1,1,57,40.9,26,7,5,1,6,3.3333333333333335,0,4,19,1,0,0
6,2,2,0,0,15,,18,10,10,4,5,3.3333333333333335,0,2,29,3,0,0
4,8,0,0,1,11,1.1,10,3,15,10,1,4.0,1,1,29,4,0,0
7,11,5,0,0,79,0.6,21,0,4,6,6,7.666666666666667,1,7,16,5,1,1
8,4,4,0,1,84,50.5,27,10,8,10,2,5.333333333333333,0,3,30,5,1,1
4,11,4,1,1,43,18.8,2,18,14,2,7,6.333333333333333,0,1,41,3,0,0
7,9,4,1,0,75,,9,7,6,8,4,6.666666666666667,0,7,25,3,1,1
0,2,0,0,0,20,31.1,22,6,3,8,4,0.6666666666666666,0,2,21,3,0,0
2,2,0,0,0,37,,3,1,8,5,3,1.3333333333333333,0,2,17,3,0,0
5,10,0,0,0,28,51.2,7,2,5,7,7,5.0,0,5,21,5,0,1
1,0,0,0,0,41,28.3,17,6,15,0,5,0.3333333333333333,0,1,26,2,0,0
3,4,1,1,1,0,16.0,7,20,14,8,7,2.6666666666666665,0,2,49,1,0,0
3,6,3,0,0,32,31.8,23,7,1,0,4,4.0,0,4,12,1,0,0
2,8,0,0,0,0,38.9,21,12,14,2,6,3.3333333333333335,0,1,34,5,0,0
2,7,3,0,1,8,59.6,8,18,2,1,6,4.0,0,4,27,5,0,0
2,8,1,0,0,21,,6,3,14,4,6,3.6666666666666665,0,1,27,1,0,0
5,7,3,1,0,13,,13,20,13,7,3,5.0,0,1,43,3,0,0
0,0,1,0,0,0,,29,7,13,8,6,0.3333333333333333,0,1,34,1,0,0
5,5,2,1,1,55,31.1,7,18,13,4,7,4.0,0,4,42,3,0,0
3,1,1,0,0,17,,9,7,1,9,2,1.6666666666666667,0,1,19,2,0,0
3,8,0,0,1,51,25.7,14,4,7,0,5,3.6666666666666665,0,7,16,5,0,1
6,8,3,1,0,4,,4,6,0,7,5,5.666666666666667,0,3,18,2,0,0
4,3,0,0,1,52,,14,19,12,9,4,2.3333333333333335,0,2,44,4,0,0
3,4,3,1,0,3,28.5,16,16,10,5,7,3.3333333333333335,0,1,38,3,0,0
4,6,3,0,0,51,23.5,25,7,0,9,7,4.333333333333333,0,2,23,4,0,0
4,6,6,0,1,73,5.5,5,20,11,0,4,5.333333333333333,0,1,35,1,1,0
2,7,2,1,0,0,,13,13,15,7,3,3.6666666666666665,0,1,38,1,0,0
3,12,4,0,0,54,36.9,18,8,6,4,3,6.333333333333333,0,1,21,1,0,0
5,9,3,1,0,65,10.6,13,15,3,0,1,5.666666666666667,0,1,19,1,0,0
1,0,3,1,0,21,5.6,15,12,13,5,5,1.3333333333333333,0,1,35,5,0,0
2,10,3,1,1,50,,28,17,9,5,5,5.0,0,1,36,5,0,0
2,6,4,0,0,0,56.8,21,1,7,0,4,4.0,0,2,12,2,0,0
7,9,1,0,1,25,47.9,4,5,9,5,0,5.666666666666667,0,6,19,2,0,1
4,10,3,1,1,66,57.2,20,3,10,5,5,5.666666666666667,0,1,23,4,0,1
4,4,0,0,1,38,14.1,1,2,0,2,0,2.6666666666666665,0,3,4,5,0,1
2,0,0,0,0,29,43.4,22,12,15,10,7,0.6666666666666666,0,1,44,3,0,0
1,5,2,0,0,46,1.6,26,12,14,1,0,2.6666666666666665,1,2,27,4,0,0
6,8,3,1,1,57,,8,12,8,1,4,5.666666666666667,0,3,25,3,0,1
0,2,2,1,0,37,57.9,23,15,12,0,5,1.3333333333333333,0,1,32,3,0,0
5,6,2,0,1,45,58.4,15,16,1,6,0,4.333333333333333,0,2,23,2,0,0
3,4,4,0,1,53,,24,8,13,10,5,3.6666666666666665,0,1,36,5,0,1
5,5,1,1,1,27,,27,7,14,8,2,3.6666666666666665,0,1,31,5,0,0
6,12,2,1,0,53,7.2,18,6,3,9,4,6.666666666666667,0,5,22,2,0,1
1,10,2,1,0,0,65.6,24,16,2,3,0,4.333333333333333,0,1,21,1,0,0
2,5,3,0,0,38,0.9,25,2,8,8,3,3.3333333333333335,1,4,21,5,0,1
5,5,5,0,1,64,47.1,4,10,6,6,0,5.0,0,6,22,3,0,1
3,8,1,0,1,33,,25,16,5,5,5,4.0,0,4,31,3,0,0
6,5,2,0,1,31,21.5,16,3,5,3,4,4.333333333333333,0,6,15,3,0,1
0,1,0,0,1,13,22.1,28,9,1,5,6,0.3333333333333333,0,2,21,3,0,0
4,5,3,1,0,10,5.9,26,8,12,1,3,4.0,0,1,24,3,0,0
2,8,0,0,1,32,18.1,12,3,9,2,2,3.3333333333333335,0,1,16,5,0,0
0,1,3,0,1,28,,9,18,7,4,5,1.3333333333333333,0,1,34,5,0,0
7,11,4,1,0,64,0.7,12,17,1,2,3,7.333333333333333,1,1,23,3,0,0
3,5,0,0,0,26,31.9,8,1,2,4,7,2.6666666666666665,0,4,14,3,0,1
0,4,2,0,0,6,,8,8,0,10,4,2.0,0,3,22,4,0,1
8,7,4,1,0,30,,23,5,1,4,6,6.333333333333333,0,2,16,5,0,1
3,11,1,1,0,18,,5,19,9,10,6,5.0,0,2,44,3,0,0
4,13,2,1,0,75,,24,8,12,4,2,6.333333333333333,0,7,26,3,1,1
0,6,2,1,0,48,,0,7,8,5,3,2.6666666666666665,0,2,23,1,0,1
6,11,2,1,1,56,47.3,25,19,7,9,1,6.333333333333333,0,1,36,3,0,0
2,8,2,1,1,27,8.3,18,19,0,3,4,4.0,0,1,26,5,0,0
7,13,3,0,0,71,5.4,5,8,4,2,2,7.666666666666667,0,3,16,4,1,1
6,6,4,1,0,3,,4,18,5,10,0,5.333333333333333,0,1,33,5,0,0
2,9,0,0,0,26,23.4,3,10,11,6,7,3.6666666666666665,0,7,34,4,0,1
0,4,0,0,0,35,9.3,4,4,1,10,5,1.3333333333333333,0,1,20,2,0,0
0,3,1,0,0,35,50.2,25,18,2,2,0,1.3333333333333333,0,1,22,1,0,0
2,1,5,1,0,21,49.8,5,6,12,5,6,2.6666666666666665,0,2,29,1,0,0
0,1,1,0,0,40,18.3,6,0,12,5,0,0.6666666666666666,0,2,17,3,0,0
3,5,0,0,0,8,57.0,17,7,12,10,6,2.6666666666666665,0,6,35,2,0,1
3,0,4,0,0,60,9.6,11,2,3,2,7,2.3333333333333335,0,3,14,3,0,1
5,5,3,0,0,16,19.6,21,11,6,6,3,4.333333333333333,0,2,26,5,0,1
5,4,4,0,0,43,,14,11,13,4,6,4.333333333333333,0,2,34,5,0,0
3,6,0,0,1,71,66.3,5,17,2,7,3,3.0,0,1,29,3,1,0
7,4,1,0,0,72,63.5,2,13,6,9,3,4.0,0,3,31,4,1,1
7,6,1,1,1,74,,3,6,12,1,7,4.666666666666667,0,6,26,2,1,1
3,2,3,0,0,13,39.9,0,9,3,4,2,2.6666666666666665,0,2,18,2,0,0
6,16,0,0,1,13,60.7,30,11,4,7,6,7.333333333333333,0,7,28,5,0,1
1,5,3,0,0,31,32.4,27,17,2,0,6,3.0,0,3,25,3,0,0
8,6,4,0,0,24,48.5,27,17,7,2,6,6.0,0,2,32,3,0,0
0,1,0,0,0,31,,8,14,8,3,5,0.3333333333333333,0,2,30,2,0,0
2,8,0,0,1,11,15.7,4,6,6,1,1,3.3333333333333335,0,4,14,5,0,0
3,5,4,1,0,28,26.3,7,5,0,6,2,4.0,0,1,13,5,0,0
5,1,2,0,0,59,41.4,15,2,7,10,4,2.6666666666666665,0,3,23,1,0,1
4,3,0,0,0,8,1.3,2,3,11,8,6,2.3333333333333335,1,7,28,5,0,1
3,3,2,1,0,28,37.3,21,7,0,8,6,2.6666666666666665,0,2,21,4,0,0
4,0,7,1,0,42,14.7,25,13,12,8,0,3.6666666666666665,0,4,33,2,0,0
3,6,2,0,0,36,26.1,29,8,9,8,3,3.6666666666666665,0,3,28,1,0,1
0,0,0,0,0,8,29.0,10,19,3,9,1,0.0,0,1,32,3,0,0
2,10,4,1,1,42,1.6,0,15,13,4,2,5.333333333333333,1,5,34,1,0,1
4,2,1,1,0,56,35.0,8,16,10,3,0,2.3333333333333335,0,1,29,2,0,0
5,10,3,1,1,57,34.9,27,19,13,3,5,6.0,0,3,40,3,0,0
2,2,0,0,0,35,26.9,10,6,12,7,3,1.3333333333333333,0,1,28,4,0,0
3,6,0,0,0,0,,24,11,3,4,1,3.0,0,2,19,4,0,0
2,14,4,1,1,33,20.4,7,1,2,3,4,6.666666666666667,0,5,10,1,0,1
4,3,5,1,1,46,2.6,21,15,14,9,5,4.0,1,2,43,5,0,0
3,9,0,0,0,26,12.4,16,5,7,6,0,4.0,0,1,18,2,0,0
4,6,4,0,0,30,,7,6,1,8,6,4.666666666666667,0,7,21,1,0,1
0,0,1,0,0,17,43.2,10,10,3,3,4,0.3333333333333333,0,4,20,3,0,1
0,4,0,0,1,0,,17,8,9,6,1,1.3333333333333333,0,2,24,1,0,0
0,1,4,0,1,4,7.8,1,16,6,1,3,1.6666666666666667,0,2,26,5,0,0
5,7,2,1,0,48,12.3,23,0,6,8,2,4.666666666666667,0,7,16,5,0,1
2,0,0,0,0,32,,22,10,7,9,5,0.6666666666666666,0,1,31,1,0,0
5,0,3,1,0,17,,12,0,6,5,2,2.6666666666666665,0,2,13,4,0,0
8,8,2,1,1,45,25.9,1,0,13,5,2,6.0,0,6,20,5,0,1
3,6,3,1,0,0,,15,18,4,9,1,4.0,0,2,32,3,0,0
3,8,2,1,0,70,10.0,10,20,12,8,3,4.333333333333333,0,2,43,1,1,0
7,6,5,1,1,84,,11,3,12,5,4,6.0,0,4,24,4,1,1
3,6,2,0,0,33,,11,9,1,8,7,3.6666666666666665,0,2,25,5,0,0
3,8,4,1,1,52,70.0,23,12,3,5,3,5.0,0,3,23,3,0,1
5,11,2,1,0,27,32.1,15,14,2,7,6,6.0,0,1,29,3,0,0
3,6,3,1,1,53,55.9,16,7,2,8,3,4.0,0,2,20,1,0,0
8,5,3,0,1,0,5.5,29,15,8,6,2,5.333333333333333,0,2,31,1,0,0
5,1,1,1,1,54,59.9,20,10,2,7,7,2.3333333333333335,0,4,26,5,0,1
4,8,1,1,1,46,39.2,4,6,4,8,2,4.333333333333333,0,7,20,5,0,1
1,2,0,0,1,27,66.7,1,2,10,7,1,1.0,0,3,20,3,0,0
2,0,4,1,0,25,,12,11,13,6,6,2.0,0,6,36,3,0,1
5,7,3,1,1,56,,11,7,2,1,1,5.0,0,1,11,1,0,1
5,8,0,0,0,6,,3,19,15,0,2,4.333333333333333,0,3,36,5,0,0
0,0,0,0,0,0,49.9,21,12,14,1,1,0.0,0,4,28,2,0,0
7,6,1,1,0,32,,20,7,5,4,1,4.666666666666667,0,6,17,1,0,1
4,4,3,0,1,67,,13,18,5,10,6,3.6666666666666665,0,1,39,4,0,0
3,9,2,1,0,46,9.0,19,4,5,7,1,4.666666666666667,0,4,17,3,0,1
5,8,2,1,1,38,,18,18,6,9,7,5.0,0,3,40,4,0,0
4,1,3,1,0,48,15.9,9,18,13,5,6,2.6666666666666665,0,4,42,4,0,0
4,5,0,0,1,38,57.4,20,10,11,0,3,3.0,0,4,24,2,0,0
1,5,0,0,0,48,68.1,11,13,8,9,0,2.0,0,1,30,1,0,0
3,6,0,0,0,17,56.4,26,16,7,0,1,3.0,0,1,24,3,0,0
1,13,2,1,1,64,31.2,4,8,10,4,4,5.333333333333333,0,1,26,1,0,0
9,7,2,0,0,92,22.1,0,1,7,7,6,6.0,0,3,21,5,1,1
1,1,2,0,0,35,49.4,4,17,11,4,1,1.3333333333333333,0,2,33,5,0,0
3,7,3,1,0,47,26.0,3,12,6,4,3,4.333333333333333,0,1,25,3,0,0
7,8,4,1,1,57,56.4,25,7,12,3,7,6.333333333333333,0,5,29,1,0,1
4,10,2,1,0,29,62.2,14,9,11,9,3,5.333333333333333,0,1,32,2,0,0
0,0,4,1,0,20,26.4,21,4,8,4,2,1.3333333333333333,0,1,18,3,0,0
5,3,1,1,0,33,,7,10,6,10,1,3.0,0,2,27,2,0,1
7,12,2,0,0,97,,16,2,7,5,1,7.0,0,5,15,3,1,1
3,3,2,0,0,46,10.0,29,11,15,5,5,2.6666666666666665,0,2,36,4,0,0
6,6,2,1,0,48,15.8,5,17,12,8,5,4.666666666666667,0,4,42,1,0,0
1,4,3,0,0,41,63.7,16,19,13,2,6,2.6666666666666665,0,1,40,3,0,0
1,9,1,1,0,43,62.2,24,14,3,6,3,3.6666666666666665,0,4,26,1,0,1
6,2,2,1,1,0,28.2,17,8,3,8,7,3.3333333333333335,0,2,26,5,0,0
1,9,3,0,0,42,10.1,30,19,14,2,3,4.333333333333333,0,2,38,1,0,0
0,11,4,1,0,0,61.9,26,18,13,5,4,5.0,0,2,40,3,0,0
5,7,3,0,1,52,20.1,12,7,5,7,6,5.0,0,2,25,5,0,1
5,10,3,0,1,32,13.3,8,17,8,2,2,6.0,0,1,29,3,0,0
4,4,1,1,1,56,47.6,16,7,1,8,2,3.0,0,5,18,5,0,1
8,2,4,0,1,58,68.2,19,0,15,6,0,4.666666666666667,0,2,21,1,0,0
3,4,0,0,0,69,52.9,10,15,7,0,5,2.3333333333333335,0,1,27,2,0,0
1,0,0,0,0,36,32.9,1,5,15,9,6,0.3333333333333333,0,1,35,3,0,0
3,4,1,1,1,29,38.5,3,5,8,1,3,2.6666666666666665,0,1,17,1,0,0
6,4,1,1,1,45,29.8,4,5,10,1,0,3.6666666666666665,0,5,16,5,0,1
5,6,0,0,1,0,50.3,2,18,11,0,3,3.6666666666666665,0,1,32,3,0,0
2,2,0,0,0,48,37.9,23,20,3,8,4,1.3333333333333333,0,1,35,4,0,0
2,1,0,0,1,26,,29,2,4,0,4,1.0,0,1,10,2,0,0
4,5,0,0,1,8,43.9,14,13,15,5,5,3.0,0,1,38,3,0,0
2,4,2,0,1,22,,23,15,5,5,3,2.6666666666666665,0,1,28,1,0,0
4,6,0,0,1,19,41.6,16,19,13,1,4,3.3333333333333335,0,3,37,4,0,0
3,8,0,0,0,62,64.9,30,18,5,3,6,3.6666666666666665,0,2,32,2,0,0
6,4,1,1,0,12,50.0,17,18,7,3,0,3.6666666666666665,0,1,28,3,0,0
3,6,0,0,0,31,,12,13,11,1,7,3.0,0,4,32,3,0,0
6,7,4,1,1,46,10.4,3,16,10,4,4,5.666666666666667,0,4,34,1,0,0
2,6,3,1,0,42,52.8,27,8,11,3,7,3.6666666666666665,0,1,29,1,0,0
0,1,2,0,1,44,,6,18,4,4,4,1.0,0,1,30,3,0,0
5,8,2,1,0,51,54.4,16,13,13,10,5,5.0,0,1,41,4,0,0
8,13,4,0,1,100,66.3,28,5,12,1,2,8.333333333333334,0,4,20,5,1,1
7,10,1,1,1,59,59.9,3,11,2,9,1,6.0,0,3,23,3,0,1
5,5,1,1,0,46,65.0,22,16,10,6,5,3.6666666666666665,0,1,37,1,0,0
1,3,3,0,1,43,51.7,19,1,4,1,3,2.3333333333333335,0,2,9,3,0,1
6,8,4,1,1,84,65.2,2,7,9,4,0,6.0,0,6,20,5,1,1
3,6,3,0,0,66,,26,3,8,7,0,4.0,0,4,18,5,0,1
7,4,1,0,1,0,13.8,3,18,11,3,1,4.0,0,4,33,3,0,0
2,6,2,1,0,6,43.7,11,0,10,5,6,3.3333333333333335,0,4,21,3,0,0
5,8,1,1,1,13,65.3,22,13,1,10,4,4.666666666666667,0,2,28,4,0,0
2,5,3,1,1,29,46.8,1,1,13,4,0,3.3333333333333335,0,3,18,5,0,1
5,8,3,0,0,84,6.9,1,9,0,4,1,5.333333333333333,0,3,14,1,1,1
2,12,0,0,1,56,29.0,24,16,12,10,5,4.666666666666667,0,5,43,1,0,1
1,0,3,0,0,0,38.4,10,16,4,0,3,1.3333333333333333,0,3,23,1,0,0
7,11,3,1,1,31,16.7,3,4,13,4,0,7.0,0,5,21,4,0,1
3,4,3,0,0,39,67.5,27,1,12,6,1,3.3333333333333335,0,1,20,4,0,0
1,5,3,0,0,34,,24,12,15,0,0,3.0,0,1,27,4,0,0
1,4,0,0,0,6,,20,5,6,5,1,1.6666666666666667,0,1,17,1,0,0
4,0,0,0,0,56,20.5,5,4,5,9,6,1.3333333333333333,0,1,24,5,0,0
9,6,0,0,0,45,43.5,10,17,10,4,4,5.0,0,2,35,5,0,0
3,2,0,0,0,21,64.5,17,2,5,8,3,1.6666666666666667,0,2,18,3,0,0
5,9,0,0,1,23,23.1,24,19,10,9,6,4.666666666666667,0,6,44,1,0,1
4,6,2,0,1,35,28.6,15,6,10,3,0,4.0,0,6,19,3,0,1
3,8,4,0,1,65,69.6,15,18,4,1,5,5.0,0,1,28,3,0,0
1,10,2,1,1,23,16.7,21,7,3,4,6,4.333333333333333,0,4,20,5,0,1
0,4,2,0,0,29,4.7,21,3,0,5,1,2.0,1,6,9,5,0,1
2,2,0,0,1,5,,7,20,11,5,1,1.3333333333333333,0,4,37,4,0,1
0,1,4,0,1,66,68.2,19,8,7,7,3,1.6666666666666667,0,4,25,1,0,0
3,5,0,0,0,71,10.8,18,11,15,3,2,2.6666666666666665,0,2,31,2,1,0
3,0,1,0,0,4,,7,4,4,6,5,1.3333333333333333,0,1,19,1,0,0
0,4,2,1,1,18,,9,7,15,9,3,2.0,0,2,34,5,0,0
3,6,2,0,0,26,,12,10,4,7,1,3.6666666666666665,0,2,22,1,0,0
5,8,4,0,1,62,,29,0,7,3,4,5.666666666666667,0,6,14,5,0,1
0,4,3,0,0,47,17.5,12,4,6,10,3,2.3333333333333335,0,3,23,4,0,1
6,2,0,0,1,0,26.5,8,1,13,2,5,2.6666666666666665,0,3,21,1,0,1
2,4,0,0,0,27,4.4,10,17,5,4,3,2.0,1,1,29,2,0,0
3,10,3,0,1,21,37.5,1,13,10,9,6,5.333333333333333,0,1,38,1,0,0
1,3,1,0,0,0,57.6,21,13,13,6,2,1.6666666666666667,0,3,34,1,0,0
2,11,1,1,1,45,57.6,22,13,10,6,4,4.666666666666667,0,3,33,3,0,0
2,1,3,1,1,32,9.7,6,15,14,7,7,2.0,0,1,43,5,0,0
0,0,0,0,0,27,28.3,30,19,10,10,5,0.0,0,1,44,1,0,0
3,6,1,0,1,68,,16,8,13,2,1,3.3333333333333335,0,1,24,5,0,1
3,9,2,1,0,70,14.7,28,11,12,3,0,4.666666666666667,0,5,26,4,1,1
2,5,1,1,1,45,,21,11,2,7,5,2.6666666666666665,0,2,25,4,0,0
4,6,3,1,0,48,45.6,7,8,9,2,6,4.333333333333333,0,3,25,4,0,1
3,5,1,1,0,33,,27,7,0,5,1,3.0,0,5,13,5,0,1
3,0,3,0,0,24,,30,15,3,4,3,2.0,0,1,25,4,0,0
6,2,2,1,1,49,70.4,20,0,13,9,2,3.3333333333333335,0,4,24,5,0,1
0,2,0,0,1,32,3.1,20,1,0,0,1,0.6666666666666666,1,1,2,4,0,0
2,3,2,1,1,75,55.2,26,7,14,4,0,2.3333333333333335,0,4,25,3,1,1
5,11,0,0,1,48,50.9,0,5,6,4,6,5.333333333333333,0,6,21,3,0,1
9,3,2,0,1,59,,18,11,6,0,0,4.666666666666667,0,5,17,4,0,1
0,0,0,0,0,0,23.1,23,3,14,8,5,0.0,0,2,30,5,0,0
0,3,2,0,0,6,,21,8,13,5,2,1.6666666666666667,0,3,28,3,0,0
3,9,2,1,0,46,,17,9,10,6,7,4.666666666666667,0,3,32,3,0,1
0,7,0,0,0,0,,22,13,6,3,5,2.3333333333333335,0,1,27,1,0,0
2,6,5,1,0,64,24.4,30,19,10,2,3,4.333333333333333,0,1,34,1,0,0
9,9,3,1,1,30,18.5,7,4,0,6,6,7.0,0,2,16,4,0,0
4,3,5,1,0,45,12.5,26,8,15,6,7,4.0,0,3,36,1,0,0
3,9,3,0,0,43,,9,4,5,0,1,5.0,0,3,10,1,0,0
0,3,0,0,0,19,40.5,8,5,11,10,2,1.0,0,4,28,4,0,0
0,6,3,1,0,39,44.4,5,12,9,5,5,3.0,0,4,31,1,0,0
4,3,3,0,0,28,19.0,17,9,3,3,5,3.3333333333333335,0,1,20,3,0,0
7,10,2,0,0,37,62.9,25,18,7,5,4,6.333333333333333,0,4,34,3,0,0
1,2,0,0,0,61,47.4,6,8,12,8,7,1.0,0,2,35,4,0,1
2,3,0,0,0,25,66.8,10,1,3,7,5,1.6666666666666667,0,3,16,2,0,0
5,5,1,1,1,16,30.3,25,15,0,9,7,3.6666666666666665,0,1,31,2,0,0
1,0,3,1,0,0,1.0,30,15,0,0,0,1.3333333333333333,1,1,15,2,0,0
2,0,0,0,0,44,70.6,30,14,1,5,3,0.6666666666666666,0,2,23,5,0,0
6,5,5,1,0,64,40.3,10,9,2,5,2,5.333333333333333,0,6,18,3,0,1
6,7,3,0,1,54,9.2,16,14,2,6,6,5.333333333333333,0,4,28,3,0,1
0,11,3,0,1,61,12.8,21,9,14,7,3,4.666666666666667,0,2,33,1,0,0
7,5,1,1,1,33,,16,6,3,0,2,4.333333333333333,0,6,11,3,0,1
1,0,0,0,0,0,37.0,27,8,7,8,5,0.3333333333333333,0,1,28,3,0,0
3,2,5,0,1,69,21.3,12,1,14,6,5,3.3333333333333335,0,6,26,1,0,1
0,0,0,0,0,10,24.2,9,9,11,10,4,0.0,0,1,34,3,0,0
4,3,4,0,1,36,22.7,25,20,5,4,3,3.6666666666666665,0,5,32,5,0,1
2,5,2,0,1,26,46.5,4,12,14,6,0,3.0,0,2,32,1,0,1
4,1,2,1,0,32,,16,2,4,0,6,2.3333333333333335,0,1,12,5,0,0
2,5,0,0,1,22,41.6,26,14,15,7,5,2.3333333333333335,0,1,41,3,0,0
4,13,4,0,1,20,5.3,8,0,10,0,0,7.0,0,6,10,3,0,1
5,14,2,1,0,87,66.7,27,18,5,5,7,7.0,0,4,35,5,1,1
0,0,2,0,0,0,,11,4,4,5,7,0.6666666666666666,0,2,20,2,0,0
5,9,4,0,1,66,20.5,0,0,6,5,7,6.0,0,1,18,1,0,0
3,2,3,1,1,54,60.6,7,18,0,1,4,2.6666666666666665,0,1,23,1,0,0
